id задачи|Дата создания|Платформа|Способ связи|Кол-во откликов|Кол-во матчей
193324|2022-07-30T04:02:44.336700|admins|через телефон|1|0
193323|2022-07-30T03:59:42.504187|admins|через телефон|3|0
193322|2022-07-30T03:59:16.561252|admins|через телефон|5|0
193321|2022-07-30T03:58:41.717771|admins|через телефон|0|0
193320|2022-07-30T03:56:03.866060|admins|через телефон|0|0
193319|2022-07-30T03:52:05.466955|admins|через телефон|0|0
193318|2022-07-30T03:52:00.381625|-|через приложение|4|1
193317|2022-07-30T03:48:34.293640|admins|через телефон|2|0
193316|2022-07-30T03:48:12.220083|admins|через телефон|1|0
193315|2022-07-30T03:46:00.624224|admins|через телефон|0|0
193314|2022-07-30T03:43:32.612754|admins|через телефон|0|0
